release_date_x,movie_title_x,production_budget,domestic_gross,worldwide_gross,release_year_x,foreign_gross,movie_id,original_language,popularity,vote_average,vote_count,primary_genre
2016-09-23,the magnificent seven,90000000,93432655,162525156,2016,69092501,themagnificentseven20160923,en,18.487,6.2,3647,adventure
2015-12-18,alvin and the chipmunks: the road chip,90000000,85886987,249517956,2015,163630969,alvinandthechipmunkstheroadchip20151218,en,14.973,5.8,852,adventure
2015-07-24,pixels,90000000,78765986,244041804,2015,165275818,pixels20150724,en,23.029,5.6,4423,action
2013-08-07,percy jackson: sea of monsters,90000000,68559554,200859554,2013,132300000,percyjacksonseaofmonsters20130807,en,15.762,5.9,3109,adventure
2016-06-10,now you see me 2,90000000,65075540,328325007,2016,263249467,nowyouseeme220160610,en,25.805,6.8,6744,action
2018-03-16,tomb raider,90000000,58250803,273477501,2018,215226698,tombraider20180316,en,24.968,6.3,4310,action
2011-08-19,conan the barbarian,90000000,21295021,63356133,2011,42061112,conanthebarbarian20110819,en,17.046,5.2,1024,adventure
2017-04-21,the promise,90000000,8224288,10551417,2017,2327129,thepromise20170421,en,10.158,7.1,195,history
2010-11-24,the nutcracker in 3d,90000000,195459,20466016,2010,20270557,thenutcrackerin3d20101124,en,7.566,5.5,97,music
2018-09-14,the predator,88000000,51024708,159487563,2018,108462855,thepredator20180914,en,29.473,5.2,2018,science_fiction
2004-07-23,the bourne supremacy,85000000,176087450,311001124,2004,134913674,thebournesupremacy20040723,en,18.199,7.3,4367,action
2014-03-21,divergent,85000000,150947895,276014965,2014,125067070,divergent20140321,en,16.982,6.9,8279,action
2012-09-28,hotel transylvania,85000000,148313048,378505812,2012,230192764,hoteltransylvania20120928,en,15.318,6.9,5013,animation
2012-02-10,safe house,85000000,126181630,208542162,2012,82360532,safehouse20120210,en,13.116,6.4,1997,action
2011-11-04,tower heist,85000000,78046570,150422946,2011,72376376,towerheist20111104,en,12.213,6.0,1592,action
2012-03-30,mirror mirror,85000000,64935167,173613482,2012,108678315,mirrormirror20120330,en,13.221,5.8,2099,adventure
2011-11-23,arthur christmas,85000000,46462469,149717124,2011,103254655,arthurchristmas20111123,en,12.981,6.7,692,drama
2017-01-20,xxx: return of xander cage,85000000,44898413,345033359,2017,300134946,xxxreturnofxandercage20170120,en,21.749,5.6,2452,action
2010-07-30,cats & dogs: the revenge of kitty galore,85000000,43585753,113026383,2010,69440630,catsdogstherevengeofkittygalore20100730,en,10.544,4.9,273,comedy
2010-08-13,scott pilgrim vs. the world,85000000,31611316,48056764,2010,16445448,scottpilgrimvstheworld20100813,en,14.383,7.3,3882,action
