movie_id_x,movie_title_x,original_title_x,runtime_minutes,genres,averagerating,numvotes,primary_genre_x,movie_id2,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count
tt4902260,the eyes,the eyes,95.0,"crime,drama,mystery",5.0,613,crime,theeyes2017,"9648, 18, 80, 53",450975,en,1.227,2017-04-07,6.3,8
tt4902618,confessions,confessions,88.0,"comedy,drama,horror",5.5,68,comedy,confessions2016,"35, 18, 27, 53",405795,en,1.226,2016-07-26,9.3,4
tt4902716,rebirth,rebirth,100.0,thriller,5.0,3289,thriller,rebirth2016,53,369033,en,5.665,2016-04-17,4.9,91
tt4906086,chlorine,chlorine,98.0,"drama,sport",6.1,8,drama,chlorine2015,18,310516,it,1.998,2015-01-24,5.8,8
tt4906164,mercy christmas,mercy christmas,83.0,"action,comedy,horror",4.8,345,action,mercychristmas2017,"28, 27, 35",423383,en,2.332,2017-11-28,5.0,8
tt4906456,grey agenda,grey agenda,128.0,sci-fi,3.4,34,sci-fi,greyagenda2017,878,489740,en,0.6,2017-08-25,1.0,1
tt4906686,all hallows' eve,all hallows' eve,92.0,family,5.6,432,family,allhallowseve2016,10751,416261,en,2.453,2016-09-27,5.1,31
tt4907976,the things we've seen,the things we've seen,80.0,"crime,drama,thriller",4.3,108,crime,thethingsweveseen2017,"80, 53",521646,en,1.4,2017-01-28,10.0,2
tt4908174,breaking brooklyn,breaking brooklyn,97.0,"drama,family,music",5.0,123,drama,breakingbrooklyn2018,"18, 10751, 10402, 10749",461923,en,4.045,2018-11-06,8.3,3
tt4908644,winter on fire: ukraine's fight for freedom,winter on fire: ukraine's fight for freedom,102.0,documentary,8.4,10556,documentary,winteronfireukrainesfightforfreedom2015,99,355020,uk,5.289,2015-09-04,8.1,104
tt4909448,his secret family,his secret family,83.0,"crime,drama,thriller",5.1,463,crime,hissecretfamily2015,"18, 80, 53",354375,en,1.711,2015-08-01,4.0,8
tt4911288,danger close,danger close,90.0,action,4.4,179,action,dangerclose2017,99,446348,en,1.96,2017-05-26,6.3,3
tt4911408,citizen soldier,citizen soldier,105.0,"documentary,war",5.8,455,documentary,citizensoldier2016,"28, 99",406231,en,1.4,2016-08-05,7.0,6
tt4912910,mission: impossible - fallout,mission: impossible - fallout,147.0,"action,adventure,thriller",7.8,233877,action,missionimpossiblefallout2018,28,353081,en,29.69,2018-07-27,7.3,3811
tt4913118,isolated,isolated,73.0,documentary,7.3,24,documentary,isolated2015,"16, 27",357421,en,0.6,2015-01-12,5.0,2
tt4916682,mourning son,mourning son,107.0,documentary,8.2,125,documentary,mourningson2015,99,394423,en,0.6,2015-12-01,5.0,1
tt4917224,9/11,9/11,90.0,"action,drama",4.1,2587,action,9112017,18,455558,en,7.916,2017-09-08,4.8,96
tt4919484,little men,little men,85.0,drama,6.7,6082,drama,littlemen2016,18,373473,en,5.482,2016-08-05,6.5,82
tt4919766,insane,insane,90.0,horror,2.6,134,horror,insane2016,27,410506,es,0.6,2016-08-31,2.2,5
tt4920274,regular show: the movie,regular show: the movie,69.0,"action,adventure,animation",7.5,2332,action,regularshowthemovie2015,"16, 35, 878, 10770",354857,en,5.844,2015-09-01,7.4,63
tt4921338,the break-in,the break-in,72.0,"horror,mystery,thriller",4.3,462,horror,thebreakin2016,27,391208,en,0.629,2016-02-05,4.0,8
tt4922524,flesh and blood,flesh and blood,90.0,drama,5.6,111,drama,fleshandblood2017,18,438499,en,0.739,2017-10-27,6.3,4
tt4923846,christmas in the smokies,christmas in the smokies,88.0,"drama,family,romance",6.0,949,drama,christmasinthesmokies2015,10751,366242,en,1.535,2015-10-16,6.4,17
tt4925292,lady bird,lady bird,94.0,"comedy,drama",7.4,177677,comedy,ladybird2017,"35, 18",391713,en,15.974,2017-11-03,7.3,3866
tt4926752,restoration,restoration,93.0,drama,8.4,17,drama,restoration2016,27,396152,en,1.661,2016-05-03,4.7,21
tt4926886,alfred hitchcock: master of suspense,alfred hitchcock: master of suspense,141.0,documentary,5.9,39,documentary,alfredhitchcockmasterofsuspense2013,99,323704,en,0.6,2013-09-17,6.5,2
tt4928814,"you, me and him","you, me and him",98.0,comedy,6.4,1000,comedy,youmeandhim2017,35,465026,en,1.4,2017-12-15,6.6,9
tt4929038,the ornithologist,o ornitólogo,117.0,"adventure,drama,mystery",6.3,2426,adventure,theornithologist2016,"12, 18",377274,pt,3.175,2016-10-12,6.6,33
tt4933238,family possessions,family possessions,111.0,horror,3.9,224,horror,familypossessions2016,27,422472,en,1.112,2016-10-21,4.3,4
tt4933472,evil bong: high 5,evil bong: high 5,70.0,"comedy,horror",3.9,103,comedy,evilbonghigh52016,"35, 27",393513,en,1.381,2016-04-20,2.3,6
tt4933506,killjoy's psycho circus,killjoy's psycho circus,86.0,"comedy,fantasy,horror",5.2,114,comedy,killjoyspsychocircus2016,27,422514,en,2.267,2016-10-30,3.5,4
tt4934152,los punks: we are all we have,los punks: we are all we have,79.0,"documentary,music",6.8,165,documentary,lospunksweareallwehave2016,99,392091,en,0.786,2016-01-22,6.0,5
tt4934950,talvar,talvar,132.0,"crime,drama,mystery",8.2,25443,crime,talvar2015,"53, 18, 9648",353464,hi,6.09,2015-10-02,7.5,66
tt4935158,demon,demon,94.0,"drama,fantasy,horror",6.1,4279,drama,demon2015,"18, 27, 53",356191,pl,3.34,2015-09-09,6.2,50
tt4935446,heart of a dog,heart of a dog,75.0,documentary,7.1,1846,documentary,heartofadog2015,99,352197,en,1.264,2015-10-21,6.8,17
tt4935480,miss sharon jones!,miss sharon jones!,93.0,"documentary,music",7.2,487,documentary,misssharonjones2015,99,358924,en,2.34,2015-11-12,7.4,9
tt4935746,the darkness,las tinieblas,92.0,thriller,5.7,196,thriller,thedarkness2016,"27, 53",257345,en,8.357,2016-05-13,4.8,347
tt4935898,wind traces,restos de viento,93.0,drama,7.1,60,drama,windtraces2017,18,482412,es,0.6,2017-10-19,7.0,2
tt4936176,mascots,mascots,89.0,comedy,5.7,6110,comedy,mascots2016,35,368993,en,5.658,2016-10-13,5.6,94
tt4936450,graduation,bacalaureat,128.0,"crime,drama",7.4,10355,crime,graduation2016,18,374458,ro,6.318,2016-05-20,6.7,115
tt4937114,rogue warrior: robot fighter,rogue warrior: robot fighter,101.0,"action,sci-fi",5.2,1948,action,roguewarriorrobotfighter2017,"28, 878",470458,en,1.66,2017-06-06,5.8,5
tt4937518,unkahi,unkahi,100.0,"drama,romance",8.2,29,drama,unkahi2016,"18, 10749",599821,ur,0.834,2016-03-30,10.0,1
tt4938050,jean of the joneses,jean of the joneses,82.0,comedy,6.3,213,comedy,jeanofthejoneses2016,"10749, 35",381035,en,1.035,2016-06-01,6.8,5
tt4938112,grace's room,grace's room,96.0,"fantasy,horror",6.7,32,fantasy,gracesroom2016,"35, 14, 27",395435,en,0.68,2016-03-10,10.0,1
tt4938292,ekaj,ekaj,80.0,"crime,drama",6.2,177,crime,ekaj2015,18,424583,en,0.785,2015-11-01,7.8,6
tt4938484,silicon cowboys,silicon cowboys,77.0,"documentary,history",6.8,1527,documentary,siliconcowboys2016,99,381058,en,1.572,2016-09-16,6.5,31
tt4938588,american dirtbags,american dirtbags,90.0,"comedy,drama",4.0,105,comedy,americandirtbags2015,"35, 18",422174,en,0.6,2015-08-01,6.5,2
tt4939436,ct fletcher: my magnificent obsession,ct fletcher: my magnificent obsession,101.0,"documentary,drama,sport",7.7,520,documentary,ctfletchermymagnificentobsession2015,99,360109,en,1.381,2015-09-18,7.9,7
tt4940416,duck duck goose,duck duck goose,91.0,"adventure,animation,comedy",5.7,2319,adventure,duckduckgoose2018,"16, 10751, 12, 35",375107,en,10.159,2018-07-20,6.3,78
tt4941722,great plains,great plains,90.0,drama,5.9,95,drama,greatplains2016,18,398111,en,0.677,2016-07-21,5.0,2
