genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
878,494240,en,sentinel,0.682,2017-12-21,sentinel,6.0,2,2017,science_fiction
"10770, 9648, 53",527835,en,the wrong man,0.682,2017-12-29,the wrong man,4.0,2,2017,10770
18,492434,en,billy star,0.681,2017-12-12,billy star,9.0,2,2017,drama
27,447956,en,evil in her,0.681,2017-03-10,evil in her,7.5,2,2017,horror
"35, 10749",441453,en,36 hour layover,0.68,2016-09-24,36 hour layover,10.0,1,2016,comedy
35,486657,en,bob saget: zero to sixty,0.68,2017-11-14,bob saget: zero to sixty,6.5,2,2017,comedy
53,518690,en,an elder man,0.68,2017-07-02,an elder man,6.0,1,2017,thriller
27,487266,en,don't answer the door,0.68,2017-11-16,don't answer the door,4.0,2,2017,horror
36,511024,en,helltown,0.679,2017-10-29,helltown,7.5,2,2017,history
27,487472,en,whisper,0.679,2017-10-31,whisper,6.0,2,2017,horror
"12, 37, 28, 10749, 18",502549,en,cassidy red,0.678,2017-10-08,cassidy red,7.0,2,2017,adventure
"53, 27",483252,en,the grinn,0.678,2017-10-06,the grinn,6.0,2,2017,thriller
"10749, 35, 18",452709,en,because of gracia,0.677,2017-09-15,because of gracia,7.0,2,2017,romance
99,469071,en,love means zero,0.677,2017-09-16,love means zero,6.0,2,2017,documentary
"18, 14, 27",456660,en,made me do it,0.677,2017-09-29,made me do it,4.5,2,2017,drama
"53, 35, 27",442801,en,#fromjennifer,0.677,2017-09-26,#fromjennifer,4.0,2,2017,thriller
99,488287,en,red white black & blue odyssey,0.676,2017-08-15,red white black & blue odyssey,8.0,2,2017,documentary
"99, 36",494796,en,maynard,0.676,2018-04-10,maynard,7.0,1,2018,documentary
99,372979,en,dying laughing,0.676,2017-02-24,dying laughing,5.8,8,2017,documentary
27,518714,en,the dark hunger,0.675,2017-01-07,the dark hunger,6.0,1,2017,horror
27,468303,en,the cropsey incident,0.675,2017-07-25,the cropsey incident,3.5,2,2017,horror
35,525190,en,alternative math,0.674,2017-07-15,alternative math,7.5,2,2017,comedy
27,526780,en,the plan,0.673,2017-05-28,the plan,5.5,2,2017,horror
"53, 18",455665,en,breaking point,0.672,2017-05-12,breaking point,9.5,2,2017,thriller
"27, 35",434661,en,zombie pizza,0.672,2017-04-27,zombie pizza,9.3,2,2017,horror
"37, 35",506653,en,westworld to yuma,0.672,2017-05-18,westworld to yuma,8.0,2,2017,western
"99, 35",459443,en,chonda pierce: enough,0.672,2017-04-25,chonda pierce: enough,8.0,2,2017,documentary
27,483545,en,party night,0.672,2017-04-28,party night,7.0,2,2017,horror
99,450648,en,white boy,0.671,2017-03-31,white boy,9.0,2,2017,documentary
99,514813,en,after auschwitz,0.671,2017-03-25,after auschwitz,8.0,2,2017,documentary
99,451012,en,fallen,0.671,2017-04-07,fallen,8.0,2,2017,documentary
35,479428,en,call your father,0.671,2017-04-01,call your father,5.5,2,2017,comedy
99,449434,en,ken burns: america's storyteller,0.67,2017-03-06,ken burns: america's storyteller,8.0,2,2017,documentary
99,447968,en,deconstructing the beatles' revolver,0.67,2017-03-01,deconstructing the beatles' revolver,8.0,2,2017,documentary
99,438441,en,i am another you,0.67,2017-03-12,i am another you,8.0,2,2017,documentary
99,444931,en,"easy to learn, hard to master: the fate of atari",0.67,2017-03-01,"easy to learn, hard to master: the fate of atari",7.0,2,2017,documentary
"35, 18, 10749",438491,en,assholes,0.67,2017-03-11,assholes,7.0,2,2017,comedy
35,440047,en,"nick cannon: stand up, don't shoot",0.67,2017-02-10,"nick cannon: stand up, don't shoot",5.5,2,2017,comedy
18,478624,pt,painted horses,0.669,2017-01-10,painted horses,7.0,2,2017,drama
99,436761,en,trump's lobby,0.669,2017-01-20,trump's lobby,7.0,2,2017,documentary
99,502896,en,the blockchain and us,0.669,2017-02-03,the blockchain and us,6.0,2,2017,documentary
"18, 10749, 53",426259,en,thirst street,0.669,2017-04-21,thirst street,4.5,6,2017,drama
"27, 53",565053,en,scary story slumber party,0.669,2017-01-17,scary story slumber party,3.5,2,2017,horror
53,502642,en,cats kill,0.669,2017-01-01,cats kill,3.0,2,2017,thriller
"35, 99",531636,en,clanker man,0.666,2017-04-26,clanker man,9.0,1,2017,comedy
99,497607,en,the man with the gray elevated hair,0.665,2017-12-05,the man with the gray elevated hair,7.0,1,2017,documentary
99,433059,en,take every wave: the life of laird hamilton,0.663,2017-01-22,take every wave: the life of laird hamilton,7.3,9,2017,documentary
"35, 10402",430248,en,abby singer/songwriter,0.661,2015-06-03,abby singer/songwriter,9.0,2,2015,comedy
99,501621,en,american statesman: the nick freitas story,0.659,2017-11-28,american statesman: the nick freitas story,10.0,1,2017,documentary
"18, 10749, 53, 10770",495931,en,sham love series - stop that wedding,0.658,2017-11-04,sham love series - stop that wedding,9.0,1,2017,drama
"27, 878",489055,en,sound from the deep,0.656,2017-10-07,sound from the deep,8.0,1,2017,horror
"99, 36",411278,en,passfire,0.656,2016-08-08,passfire,7.3,10,2016,documentary
18,485591,en,an american in texas,0.656,2017-10-29,an american in texas,7.0,1,2017,drama
18,492218,en,facing mecca,0.656,2017-06-21,facing mecca,5.0,1,2017,drama
18,426227,en,abundant acreage available,0.656,2017-09-29,abundant acreage available,5.0,1,2017,drama
99,310911,en,hairkutt,0.653,2007-04-10,hairkutt,10.0,2,2007,documentary
10402,493436,en,u2 at the bbc,0.652,2017-12-19,u2 at the bbc,10.0,1,2017,music
18,494385,en,the shepherd,0.652,2017-12-24,the shepherd,9.0,1,2017,drama
99,497468,en,a pot of boiling oil,0.652,2017-12-20,a pot of boiling oil,7.0,1,2017,documentary
"10402, 99",466348,en,haim: behind the album,0.652,2017-07-14,haim: behind the album,1.0,1,2017,music
"10770, 99",479119,en,the newspaperman: the life and times of ben bradlee,0.651,2017-12-04,the newspaperman: the life and times of ben bradlee,10.0,1,2017,10770
53,427750,en,inspired to kill,0.651,2017-01-01,inspired to kill,10.0,1,2017,thriller
"16, 10402, 10751",490935,en,a frozen christmas 2,0.651,2017-12-04,a frozen christmas 2,8.0,1,2017,animation
99,468559,en,1997: the birth of the camera phone,0.651,2017-06-29,1997: the birth of the camera phone,8.0,1,2017,documentary
"35, 18",542204,en,state of modern love,0.651,2017-12-12,state of modern love,7.0,1,2017,comedy
"18, 28",518357,en,bar wrestling 5: this is halloween,0.651,2017-12-10,bar wrestling 5: this is halloween,5.0,1,2017,drama
53,471138,en,anabolic life,0.651,2017-12-05,anabolic life,5.0,1,2017,thriller
"18, 35",434013,en,kate can’t swim,0.65,2017-01-22,kate can’t swim,7.0,1,2017,drama
"28, 35, 12",483897,en,the vat19 movie,0.65,2017-11-11,the vat19 movie,6.0,1,2017,action
"99, 10402",481831,en,tim & faith: soul2soul,0.65,2017-11-17,tim & faith: soul2soul,6.0,1,2017,documentary
99,501146,en,fox5 news special report - 1 october: one month later,0.649,2017-11-02,fox5 news special report - 1 october: one month later,10.0,1,2017,documentary
"18, 53",476919,en,christmas crime story,0.649,2017-10-24,christmas crime story,10.0,1,2017,drama
"10402, 37, 18",459172,en,aridity enclosure 1,0.649,2017-05-26,aridity enclosure 1,10.0,1,2017,music
"27, 35, 878",368590,en,toxic tutu,0.649,2017-10-28,toxic tutu,10.0,1,2017,horror
"35, 27",475066,en,vacancy,0.649,2017-10-27,vacancy,9.0,1,2017,comedy
35,485025,en,lavell crawford: home for the holidays,0.649,2017-11-03,lavell crawford: home for the holidays,7.0,1,2017,comedy
"18, 27, 53",480721,en,she was so pretty: be good for goodness sake,0.649,2017-10-20,she was so pretty: be good for goodness sake,6.0,1,2017,drama
99,444012,en,brimstone & glory,0.649,2017-03-02,brimstone & glory,5.0,1,2017,documentary
27,484299,en,wake the dead,0.649,2017-10-27,wake the dead,2.0,1,2017,horror
"35, 28, 80",569991,en,hot lead,0.648,2017-10-15,hot lead,10.0,1,2017,comedy
99,497517,en,secrets of the forbidden city,0.648,2017-10-18,secrets of the forbidden city,10.0,1,2017,documentary
35,446567,en,mouth to mouth,0.648,2017-04-26,mouth to mouth,10.0,1,2017,comedy
99,487299,en,bartender at large,0.648,2017-10-01,bartender at large,9.0,1,2017,documentary
"18, 27",460829,es,clementina,0.648,2017-10-15,clementina,8.0,1,2017,drama
18,466161,en,in the now,0.648,2017-05-03,in the now,5.0,1,2017,drama
"18, 35",547112,en,buckshot,0.648,2017-10-06,buckshot,4.0,1,2017,drama
35,474343,en,gary owen: i got my associates,0.647,2017-09-08,gary owen: i got my associates,10.0,1,2017,comedy
18,448262,en,holy cycles,0.647,2017-03-21,holy cycles,10.0,1,2017,drama
18,577440,en,secrets,0.647,2017-09-16,secrets,9.0,1,2017,drama
99,482864,en,the dark files,0.647,2017-09-08,the dark files,7.0,1,2017,documentary
10402,442261,en,highlights,0.646,2017-02-17,highlights,10.0,1,2017,music
"53, 878",451518,en,real artists,0.646,2017-03-02,real artists,9.0,1,2017,thriller
"27, 35",477069,en,date of the dead,0.646,2017-08-17,date of the dead,5.0,1,2017,horror
18,458140,en,two steps from hope,0.645,2017-05-20,two steps from hope,8.8,6,2017,drama
"53, 27",518711,en,photokill,0.645,2017-07-28,photokill,7.0,1,2017,thriller
99,473899,en,no one is safe from son of sam,0.645,2017-08-14,no one is safe from son of sam,6.0,1,2017,documentary
"37, 18, 10402",463834,en,i might be there (i won't),0.644,2017-06-28,i might be there (i won't),10.0,1,2017,western
"16, 28, 878",521467,en,grasshopper jungle,0.644,2017-07-07,grasshopper jungle,8.0,1,2017,animation
99,463137,en,unconventional,0.644,2017-06-30,unconventional,8.0,1,2017,documentary
99,595642,en,creating a king: summoning a god,0.644,2017-07-18,creating a king: summoning a god,6.0,1,2017,documentary
27,508483,en,vandals,0.644,2017-07-08,vandals,5.0,1,2017,horror
"28, 12, 10752",486343,en,unfallen,0.644,2017-06-30,unfallen,5.0,1,2017,action
"28, 12, 35, 878",482246,en,thugs vs. dinosaurs,0.644,2017-06-24,thugs vs. dinosaurs,3.0,1,2017,action
99,516983,en,frankenskies,0.643,2017-06-20,frankenskies,10.0,1,2017,documentary
"12, 99",489835,es,un viaje,0.643,2017-05-29,a journey,10.0,1,2017,adventure
"10402, 37, 18",459763,en,hiding under a copy of the strokes' single 'under cover of darkness',0.643,2017-05-30,hiding under a copy of the strokes' single 'under cover of darkness',10.0,1,2017,music
"37, 99, 10402, 18",458886,en,every ambulation a betrayal,0.643,2017-05-23,every ambulation a betrayal,10.0,1,2017,western
99,459229,en,alabama bound,0.643,2017-06-17,alabama bound,8.5,1,2017,documentary
"35, 18",473168,en,as good as you,0.643,2017-06-09,as good as you,6.0,1,2017,comedy
99,459171,en,cruel and unusual,0.643,2017-05-26,cruel and unusual,5.0,1,2017,documentary
27,565497,en,lost in buffalo city,0.643,2017-05-26,lost in buffalo city,4.0,1,2017,horror
"18, 53, 27",463780,en,"die, my dear",0.643,2017-06-08,"die, my dear",4.0,1,2017,drama
99,475407,en,weird ways of the elite,0.642,2017-05-12,weird ways of the elite,10.0,1,2017,documentary
"27, 878",455016,cs,jsem brána,0.642,2017-04-28,i am the doorway,10.0,1,2017,horror
"14, 16, 28, 27",466192,en,macabre at lighthouse lake,0.642,2017-05-13,macabre at lighthouse lake,9.0,1,2017,fantasy
99,495038,en,catching sight of thelma & louise,0.642,2017-04-30,catching sight of thelma & louise,8.0,1,2017,documentary
18,472119,en,a ghost and the boy with a box on his head,0.642,2017-05-09,a ghost and the boy with a box on his head,8.0,1,2017,drama
