id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,movie_id,movie_id2
14,2001-10-08,mulholland drive,15000000,7219578,20785973,2001,13566395,mulhollanddrive20011008,mulholland drive2001
15,2018-06-08,hotel artemis,15000000,6708137,12758799,2018,6050662,hotelartemis20180608,hotel artemis2018
16,2008-08-20,the rocker,15000000,6409528,8767338,2008,2357810,therocker20080820,the rocker2008
17,2009-08-21,post grad,15000000,6382178,6563402,2009,181224,postgrad20090821,post grad2009
18,2009-06-19,whatever works,15000000,5306706,35106706,2009,29800000,whateverworks20090619,whatever works2009
19,2000-07-19,the in crowd,15000000,5217498,5217498,2000,0,theincrowd20000719,the in crowd2000
20,2005-12-14,los tres entierros de melquiades estrada,15000000,5027684,13454474,2005,8426790,lostresentierrosdemelquiadesestrada20051214,los tres entierros de melquiades estrada2005
22,2007-09-28,se jie,15000000,4604982,65167430,2007,60562448,sejie20070928,se jie2007
23,2005-10-21,"kiss kiss, bang bang",15000000,4235837,16829464,2005,12593627,kisskissbangbang20051021,"kiss kiss, bang bang2005"
25,2015-10-30,scouts guide to the zombie apocalypse,15000000,3703046,15554855,2015,11851809,scoutsguidetothezombieapocalypse20151030,scouts guide to the zombie apocalypse2015
26,2007-01-26,blood and chocolate,15000000,3526588,6551310,2007,3024722,bloodandchocolate20070126,blood and chocolate2007
27,2010-09-22,you will meet a tall dark stranger,15000000,3247816,34247816,2010,31000000,youwillmeetatalldarkstranger20100922,you will meet a tall dark stranger2010
28,2015-10-23,rock the kasbah,15000000,3020665,3386153,2015,365488,rockthekasbah20151023,rock the kasbah2015
29,2010-09-15,never let me go,15000000,2434652,11173718,2010,8739066,neverletmego20100915,never let me go2010
30,2016-09-09,the disappointments room,15000000,2423467,3503761,2016,1080294,thedisappointmentsroom20160909,the disappointments room2016
31,2003-12-25,the company,15000000,2281585,3396508,2003,1114923,thecompany20031225,the company2003
32,2008-07-18,transsiberian,15000000,2203641,6379575,2008,4175934,transsiberian20080718,transsiberian2008
35,2017-02-03,the comedian,15000000,1658706,1658706,2017,0,thecomedian20170203,the comedian2017
36,2008-03-14,funny games,15000000,1294640,8200127,2008,6905487,funnygames20080314,funny games2008
37,2006-06-02,banlieue 13,15000000,1200216,11599903,2006,10399687,banlieue1320060602,banlieue 132006
39,2002-01-25,metropolis,15000000,673414,1405032,2002,731618,metropolis20020125,metropolis2002
40,2015-10-16,cã¬kã¨ niã¨ yinniã¡ng,15000000,632542,11279884,2015,10647342,cãkãniãyinniãng20151016,cã¬kã¨ niã¨ yinniã¡ng2015
42,2013-04-26,the reluctant fundamentalist,15000000,528731,528731,2013,0,thereluctantfundamentalist20130426,the reluctant fundamentalist2013
43,2004-02-06,the return,15000000,501752,5953886,2004,5452134,thereturn20040206,the return2004
44,2003-07-25,buffalo soldiers,15000000,353743,353743,2003,0,buffalosoldiers20030725,buffalo soldiers2003
45,2003-04-25,steal (canadian release),15000000,220944,220944,2003,0,stealcanadianrelease20030425,steal (canadian release)2003
46,2010-08-27,centurion,15000000,123570,7885048,2010,7761478,centurion20100827,centurion2010
47,2009-10-23,ong-bak 2,15000000,102458,7583050,2009,7480592,ongbak220091023,ong-bak 22009
49,2008-08-01,midnight meat train,15000000,73548,1590246,2008,1516698,midnightmeattrain20080801,midnight meat train2008
50,2013-09-06,winnie mandela,15000000,61847,61847,2013,0,winniemandela20130906,winnie mandela2013
51,2011-11-04,the son of no one,15000000,30680,1148578,2011,1117898,thesonofnoone20111104,the son of no one2011
52,2002-10-25,all the queen's men,15000000,22723,22723,2002,0,allthequeensmen20021025,all the queen's men2002
53,2007-10-05,the good night,15000000,22441,22441,2007,0,thegoodnight20071005,the good night2007
54,2013-12-06,khumba,15000000,0,20898221,2013,20898221,khumba20131206,khumba2013
55,2015-05-05,a few best men,15000000,0,17224539,2015,17224539,afewbestmen20150505,a few best men2015
56,2014-10-10,autã³mata,15000000,0,6775458,2014,6775458,autã³mata20141010,autã³mata2014
57,2015-12-31,chiamatemi francesco - il papa della gente,15000000,0,3925769,2015,3925769,chiamatemifrancescoilpapadellagente20151231,chiamatemi francesco - il papa della gente2015
58,2008-12-31,bathory,15000000,0,3436763,2008,3436763,bathory20081231,bathory2008
59,2010-02-05,san suk si gin,15000000,0,2013340,2010,2013340,sansuksigin20100205,san suk si gin2010
60,2005-12-31,dungeons & dragons: wrath of the dragon god,15000000,0,909822,2005,909822,dungeonsdragonswrathofthedragongod20051231,dungeons & dragons: wrath of the dragon god2005
61,2017-02-17,in dubious battle,15000000,0,214182,2017,214182,indubiousbattle20170217,in dubious battle2017
62,2015-09-01,broken horses,15000000,0,3471,2015,3471,brokenhorses20150901,broken horses2015
63,2001-06-29,pandaemonium,15000000,0,0,2001,0,pandaemonium20010629,pandaemonium2001
64,2019-08-14,blinded by the light,15000000,0,0,2019,0,blindedbythelight20190814,blinded by the light2019
66,2015-07-01,magic mike xxl,14500000,66013057,123660597,2015,57647540,magicmikexxl20150701,magic mike xxl2015
68,2011-07-22,elle s'appelait sarah,14500000,7691700,25480031,2011,17788331,ellesappelaitsarah20110722,elle s'appelait sarah2011
69,2015-06-05,freedom,14500000,0,872757,2015,872757,freedom20150605,freedom2015
71,2006-01-27,manderlay,14200000,74205,543306,2006,469101,manderlay20060127,manderlay2006
74,2008-11-12,slumdog millionaire,14000000,141330703,384530440,2008,243199737,slumdogmillionaire20081112,slumdog millionaire2008
79,2007-01-12,stomp the yard,14000000,61356221,75525718,2007,14169497,stomptheyard20070112,stomp the yard2007
80,2009-01-16,my bloody valentine,14000000,51545952,102836002,2009,51290050,mybloodyvalentine20090116,my bloody valentine2009
81,2012-08-31,the possession,14000000,49130588,82925064,2012,33794476,thepossession20120831,the possession2012
86,2012-02-24,tyler perry's good deeds,14000000,35025791,35579177,2012,553386,tylerperrysgooddeeds20120224,tyler perry's good deeds2012
90,2012-01-13,the iron lady,14000000,29959436,115592104,2012,85632668,theironlady20120113,the iron lady2012
92,2002-10-04,jonah: a veggietales movie,14000000,25571351,25608779,2002,37428,jonahaveggietalesmovie20021004,jonah: a veggietales movie2002
93,2002-03-08,all about the benjamins,14000000,25482931,25873145,2002,390214,allaboutthebenjamins20020308,all about the benjamins2002
95,2010-03-12,our family wedding,14000000,20255281,21410546,2010,1155265,ourfamilywedding20100312,our family wedding2010
97,2006-05-05,an american haunting,14000000,16298046,30443277,2006,14145231,anamericanhaunting20060505,an american haunting2006
98,2003-08-22,my boss's daughter,14000000,15549702,15549702,2003,0,mybosssdaughter20030822,my boss's daughter2003
99,2009-08-07,a perfect getaway,14000000,15515460,22815460,2009,7300000,aperfectgetaway20090807,a perfect getaway2009
4,2002-04-26,jason x,14000000,13121555,16951798,2002,3830243,jasonx20020426,jason x2002
6,2007-03-16,i think i love my wife,14000000,12559771,13205411,2007,645640,ithinkilovemywife20070316,i think i love my wife2007
7,2015-02-20,hot tub time machine 2,14000000,12314651,12826644,2015,511993,hottubtimemachine220150220,hot tub time machine 22015
8,2006-11-17,bobby,14000000,11242801,20597806,2006,9355005,bobby20061117,bobby2006
9,2001-02-02,head over heels,14000000,10397365,10397365,2001,0,headoverheels20010202,head over heels2001
10,2012-10-26,fun size,14000000,9409538,11166615,2012,1757077,funsize20121026,fun size2012
12,2007-11-30,le scaphandre et le papillon,14000000,5990075,22754472,2007,16764397,lescaphandreetlepapillon20071130,le scaphandre et le papillon2007
13,2006-10-06,little children,14000000,5463019,14121177,2006,8658158,littlechildren20061006,little children2006
14,2000-04-21,gossip,14000000,5108820,12591270,2000,7482450,gossip20000421,gossip2000
16,2015-10-23,suffragette,14000000,4702420,34044909,2015,29342489,suffragette20151023,suffragette2015
17,2006-10-27,catch a fire,14000000,4299773,5782198,2006,1482425,catchafire20061027,catch a fire2006
18,2014-12-19,mr. turner,14000000,3958546,25187026,2014,21228480,mrturner20141219,mr. turner2014
19,2001-09-07,soul survivors,14000000,3100650,4288246,2001,1187596,soulsurvivors20010907,soul survivors2001
20,2009-05-22,easy virtue,14000000,2656784,20537741,2009,17880957,easyvirtue20090522,easy virtue2009
22,2010-08-06,flipped,14000000,1755212,4289993,2010,2534781,flipped20100806,flipped2010
24,2010-06-25,les herbes folles,14000000,403952,1903952,2010,1500000,lesherbesfolles20100625,les herbes folles2010
25,2003-01-24,amen,14000000,274299,274299,2003,0,amen20030124,amen2003
